Cycles (Myr)	Spectral Power
0.015544569	0.427284224
0.015625954	0.651708493
0.015707339	0.986050354
0.015788724	1.430077999
0.015870109	1.979500073
0.015951494	2.626066807
0.01603288	3.357831758
0.016114265	4.159561313
0.01619565	5.013272848
0.016277035	5.898877196
0.01635842	6.794897052
0.016439805	7.679230315
0.016521191	8.529926175
0.016602576	9.32594209
0.016683961	10.04785146
0.016765346	10.67847488
0.016846731	11.20341183
0.016928117	11.61145487
0.017009502	11.89487367
0.017090887	12.04956252
0.017172272	12.07505053
0.017253657	11.97437987
0.017335042	11.75386242
0.017416428	11.42272987
0.017497813	10.99269593
0.017579198	10.47745223
0.017660583	9.892120907
0.017741968	9.252687466
0.017823353	8.575437168
0.017904739	7.876416494
0.017986124	7.170939045
0.018067509	6.473152166
0.018148894	5.795677045
0.018230279	5.149331156
0.018311665	4.542937916
0.01839305	3.983224502
0.018474435	3.474805033
0.01855582	3.020243009
0.018637205	2.620184093
0.01871859	2.273548075
0.018799976	1.977767303
0.018881361	1.729057976
0.018962746	1.522710444
0.019044131	1.353385069
0.019125516	1.215401127
0.019206901	1.103007649
0.019288287	1.010626845
0.019369672	0.933062797
0.019451057	0.865670237
0.019532442	0.804480431
0.019613827	0.746283269
0.019695213	0.688666659
0.019776598	0.630015973
0.019857983	0.569477798
0.019939368	0.506893278
0.020020753	0.442707174
0.020102138	0.377859124
0.020183524	0.313663754
0.020264909	0.251686049
0.020346294	0.193617989
0.020427679	0.141161758
0.020509064	0.095924054
0.020590449	0.059325082
0.020671835	0.032524843
0.02075322	0.016368336
0.020834605	0.011350342
0.02091599	0.01759956
0.020997375	0.034881061
0.021078761	0.062615389
0.021160146	0.09991204
0.021241531	0.145614676
0.021322916	0.198355177
0.021404301	0.256613459
0.021485686	0.318780047
0.021567072	0.383218467
0.021648457	0.448324757
0.021729842	0.512581736
0.021811227	0.574606009
0.021892612	0.633186169
0.021973997	0.687311109
0.022055383	0.736187845
0.022136768	0.779248781
0.022218153	0.816148762
0.022299538	0.846752763
0.022380923	0.871115402
0.022462308	0.889453818
0.022543694	0.902115688
0.022625079	0.909544323
0.022706464	0.912242834
